date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2014-12-14,2647,c1887010c2e5ad1c6b00acb6746c3dab5dd5e1a7,190ebe655276f1b8fc4ecd62ff43d4bb0eeae2a7,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2648+K2648+L2648+M2648+N2648,=O2648+P2648,=((Q2648/(R2648+R2647)))*100,,0,PDFBOX-2383,"[]"
2014-12-14,2648,27d1922639c192227d1b4dd7a1ca40464e3462c1,c1887010c2e5ad1c6b00acb6746c3dab5dd5e1a7,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2649+K2649+L2649+M2649+N2649,=O2649+P2649,=((Q2649/(R2649+R2648)))*100,,0,PDFBOX-2524,"[]"
2014-12-14,2649,1376f0af945d491d22add4186c8aa0a27ab78f7f,27d1922639c192227d1b4dd7a1ca40464e3462c1,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2650+K2650+L2650+M2650+N2650,=O2650+P2650,=((Q2650/(R2650+R2649)))*100,,0,PDFBOX-2524,"[]"
2014-12-15,2650,e75bb3071f335aa8048928577f72ca140b3807bb,1376f0af945d491d22add4186c8aa0a27ab78f7f,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2651+K2651+L2651+M2651+N2651,=O2651+P2651,=((Q2651/(R2651+R2650)))*100,,0,PDFBOX-2524,"[]"
2014-12-15,2651,f9c4b4709320f22cddb2a7b4c2977fa84706d227,e75bb3071f335aa8048928577f72ca140b3807bb,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2652+K2652+L2652+M2652+N2652,=O2652+P2652,=((Q2652/(R2652+R2651)))*100,,0,PDFBOX-2524,"[]"
2014-12-15,2652,0154f0060ca4caf609c6a0503ca55f02ce529c47,f9c4b4709320f22cddb2a7b4c2977fa84706d227,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2653+K2653+L2653+M2653+N2653,=O2653+P2653,=((Q2653/(R2653+R2652)))*100,,0,PDFBOX-2569,"[]"
2014-12-15,2653,447b4d647417a4516ad05f387cd46192009892fd,0154f0060ca4caf609c6a0503ca55f02ce529c47,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2654+K2654+L2654+M2654+N2654,=O2654+P2654,=((Q2654/(R2654+R2653)))*100,,0,PDFBOX-2569,"[]"
2014-12-15,2654,3ac57d7d3ce3446a7a7c19d35e22b3155217a156,447b4d647417a4516ad05f387cd46192009892fd,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2655+K2655+L2655+M2655+N2655,=O2655+P2655,=((Q2655/(R2655+R2654)))*100,,0,PDFBOX-2570,"[]"
2014-12-15,2655,2183b766646fa9936cf643e3dcdf1f57daa5cd12,3ac57d7d3ce3446a7a7c19d35e22b3155217a156,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2656+K2656+L2656+M2656+N2656,=O2656+P2656,=((Q2656/(R2656+R2655)))*100,,0,PDFBOX-2565,"[]"
2014-12-16,2656,56fd8a2d50d6c70691e775f943da757f722167b9,2183b766646fa9936cf643e3dcdf1f57daa5cd12,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2657+K2657+L2657+M2657+N2657,=O2657+P2657,=((Q2657/(R2657+R2656)))*100,,0,PDFBOX-2524,"[]"
2014-12-16,2657,dcd5f15904095bb0a9773f70f9aef789eb44e173,56fd8a2d50d6c70691e775f943da757f722167b9,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2658+K2658+L2658+M2658+N2658,=O2658+P2658,=((Q2658/(R2658+R2657)))*100,,0,PDFBOX-2565,"[]"
2014-12-16,2658,ece682c3759b1e662f2b21ead8152dc6702e5282,dcd5f15904095bb0a9773f70f9aef789eb44e173,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2659+K2659+L2659+M2659+N2659,=O2659+P2659,=((Q2659/(R2659+R2658)))*100,,0,PDFBOX-2499,"[]"
2014-12-16,2659,335f70d7d362c17cf4a9f1ce2951dcdea0a52a17,ece682c3759b1e662f2b21ead8152dc6702e5282,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2660+K2660+L2660+M2660+N2660,=O2660+P2660,=((Q2660/(R2660+R2659)))*100,,0,PDFBOX-2396,"[]"
2014-12-16,2660,36569d2843ca296f94c3fdfb5540abdbf62e1c66,335f70d7d362c17cf4a9f1ce2951dcdea0a52a17,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2661+K2661+L2661+M2661+N2661,=O2661+P2661,=((Q2661/(R2661+R2660)))*100,,0,PDFBOX-2396,"[]"
2014-12-16,2661,30dc77164465a34d62e1b8440ecec179e34868a4,36569d2843ca296f94c3fdfb5540abdbf62e1c66,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2662+K2662+L2662+M2662+N2662,=O2662+P2662,=((Q2662/(R2662+R2661)))*100,,0,PDFBOX-2339,"[]"
2014-12-16,2662,1f2d7585adbd85a4a07c6dbd337ba7e701fb52e6,30dc77164465a34d62e1b8440ecec179e34868a4,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2663+K2663+L2663+M2663+N2663,=O2663+P2663,=((Q2663/(R2663+R2662)))*100,,0,PDFBOX-2489,"[]"
2014-12-16,2663,d3192fbaad76f3826efe42f41b0ef76bf02046f0,1f2d7585adbd85a4a07c6dbd337ba7e701fb52e6,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2664+K2664+L2664+M2664+N2664,=O2664+P2664,=((Q2664/(R2664+R2663)))*100,,0,PDFBOX-2489,"[]"
2014-12-16,2664,a8e661bacaa5a6b66f676b3a6657c99c0bade3a0,d3192fbaad76f3826efe42f41b0ef76bf02046f0,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2665+K2665+L2665+M2665+N2665,=O2665+P2665,=((Q2665/(R2665+R2664)))*100,,0,PDFBOX-2566,"[]"
